epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.8541005253791809,0.34654542803764343,0.001,0.9039307236671448,0.23312683403491974
1,0.9361410737037659,0.1676083654165268,0.001,0.9396646618843079,0.15547290444374084
2,0.95428067445755,0.12343015521764755,0.001,0.9631322026252747,0.10447864979505539
3,0.9579070806503296,0.11323755979537964,0.001,0.9540269374847412,0.1171622946858406
4,0.9624229073524475,0.10269565880298615,0.001,0.96842360496521,0.08584476262331009
5,0.9652323722839355,0.09659627079963684,0.001,0.9727185368537903,0.07752485573291779
6,0.9674234986305237,0.08924474567174911,0.001,0.970141589641571,0.08444660902023315
7,0.968213677406311,0.08700729161500931,0.001,0.9635788798332214,0.09764166921377182
8,0.9679808020591736,0.09035925567150116,0.001,0.9734400510787964,0.07467539608478546
9,0.9678815603256226,0.08852505683898926,0.001,0.9773914217948914,0.06517306715250015
10,0.9691336154937744,0.08599001169204712,0.001,0.9611049890518188,0.10912321507930756
11,0.9699123501777649,0.0828554555773735,0.001,0.9722374677658081,0.07649578899145126
12,0.9689618349075317,0.08618728816509247,0.001,0.9669461250305176,0.08828358352184296
13,0.9711491465568542,0.08109408617019653,0.001,0.9698323011398315,0.0803849920630455
14,0.9713552594184875,0.08252041786909103,0.001,0.9722374677658081,0.07766713201999664
15,0.9815206527709961,0.05276718735694885,0.000100000005,0.9821330308914185,0.04994094371795654
16,0.9830437302589417,0.04971421882510185,0.000100000005,0.9840571880340576,0.04689446836709976
17,0.9842232465744019,0.046174533665180206,0.000100000005,0.9834730625152588,0.048405539244413376
18,0.984589695930481,0.04562648385763168,0.000100000005,0.9862905144691467,0.04110550135374069
19,0.9845515489578247,0.044987939298152924,0.000100000005,0.9852941036224365,0.045915864408016205
20,0.9850592613220215,0.043904539197683334,0.000100000005,0.9849848747253418,0.04481162130832672
21,0.9853798747062683,0.04293761029839516,0.000100000005,0.986050009727478,0.04151064157485962
22,0.9854868054389954,0.04268753156065941,0.000100000005,0.985912561416626,0.042241036891937256
23,0.9859791994094849,0.04133542627096176,0.000100000005,0.9858782291412354,0.042244721204042435
24,0.9865594506263733,0.039966557174921036,1.0000001e-05,0.9880084991455078,0.03599982336163521
